bull_id,backfat_thickness,ribeye_area,marbling_score,dressing_percentage,subcutaneous_fat,visceral_fat,lean_meat_yield,residual_average_daily_gain,dry_matter_intake,yearling_weight,working_weight,birth_weight,calving_ease_direct,yearling_height,type_of_bull,age_at_collection,mature_height,mature_weight,price_of_semen,bull_name
152,0.3,15.9,4.8,63.0,0.9,0.4,58.1,2.1,2.2,1150.8,943.6,74.9,5.0,56.8,Gelbvieh,4.4,68.9,2260.0,51.4,Formidable Stallion
153,0.5,17.2,8.8,61.3,1.0,0.3,60.0,2.2,-0.8,955.6,916.0,74.4,3.6,55.6,Charolais,7.2,57.6,2222.9,27.8,Formidable Sire
154,0.4,15.6,7.1,63.5,1.0,0.5,59.5,2.2,2.1,984.9,600.3,75.4,3.3,50.9,Angus,3.0,61.0,2014.5,54.7,Formidable Male
155,0.6,12.1,9.1,58.3,1.0,0.3,64.6,2.8,-2.0,993.8,575.4,89.7,4.6,56.3,Brangus,2.9,67.7,2212.0,61.5,Formidable Bullfighter
156,0.3,14.8,8.2,60.8,0.8,0.5,66.4,2.6,3.5,1082.5,1065.3,94.1,3.2,55.8,Beefmaster,1.4,61.1,1860.7,28.9,Formidable Beast
157,0.5,17.1,5.5,59.3,0.7,0.3,75.1,1.7,1.3,698.3,814.7,90.8,3.2,54.3,Simmental,2.6,55.8,2123.0,49.2,Formidable Brute
158,0.4,15.5,4.4,61.3,1.0,0.2,65.5,2.5,3.3,805.8,1109.7,108.5,4.1,51.8,Hereford,6.1,60.1,2671.4,61.6,Formidable Charger
159,0.4,11.7,3.2,60.2,0.8,0.3,57.7,2.2,-1.0,1066.8,1083.5,85.9,7.6,54.4,Simmental,6.3,50.0,1852.6,24.5,Formidable Dominator
160,0.5,16.6,6.1,58.0,1.4,0.3,57.3,3.1,-1.3,745.3,863.3,80.1,4.2,50.0,Angus,5.1,56.6,2431.0,56.5,Formidable Leader
161,0.6,11.6,7.9,59.9,1.4,0.4,60.2,2.6,-1.0,1124.8,1035.1,90.6,-0.1,52.3,Santa Gertrudis,4.7,58.8,1856.2,58.3,Formidable Fighter
162,0.5,14.1,4.1,61.9,1.1,0.2,60.8,2.4,6.3,960.2,817.8,107.8,5.7,55.0,Limousin,2.8,62.9,2085.4,61.0,Formidable Champion
163,0.4,14.8,-0.5,60.0,0.9,0.3,62.3,3.1,2.5,618.2,823.7,118.7,5.8,52.1,Angus,1.2,63.7,1971.6,64.0,Formidable Ruler
164,0.5,13.3,5.4,63.0,0.8,0.2,54.0,2.9,4.6,872.0,1111.9,88.9,4.0,57.5,Brahman,2.9,60.1,1807.0,68.3,Formidable Protector
165,0.8,14.0,8.9,61.1,1.2,0.5,54.2,2.6,-0.9,848.2,1006.2,102.4,4.9,51.9,Limousin,1.6,68.2,2226.0,50.3,Formidable Guardian
166,0.4,14.2,8.4,65.7,1.3,0.3,54.7,2.5,5.7,754.2,826.2,56.7,5.4,56.7,Hereford,3.6,70.1,2142.2,46.7,Formidable Alpha
167,0.5,16.7,5.3,61.2,0.8,0.2,62.6,2.0,0.9,943.7,771.9,85.6,3.8,56.6,Charolais,4.7,67.6,1356.6,63.1,Formidable Powerhouse
168,0.3,15.3,7.5,55.9,0.8,0.5,64.3,2.5,5.0,758.6,921.1,63.6,5.3,56.6,Gelbvieh,5.2,55.9,1973.7,49.2,Formidable Monster
169,0.5,14.9,6.0,56.1,1.1,0.4,68.1,2.7,2.7,798.1,921.1,77.5,3.2,53.7,Angus,5.3,67.3,1912.2,42.6,Formidable Warrior
170,0.4,12.8,5.4,65.9,0.9,0.3,53.2,2.3,-0.3,733.8,929.1,83.7,4.4,56.6,Hereford,3.5,64.5,2061.0,36.8,Formidable Warlord
171,0.7,13.8,8.5,57.5,0.4,0.1,52.6,3.1,1.5,950.3,973.8,101.4,4.5,54.4,Angus,2.6,64.6,1952.2,-0.5,Formidable Bruiser
172,0.4,15.4,6.3,59.1,0.8,0.1,62.2,1.8,1.1,760.1,1135.3,88.6,2.9,58.8,Limousin,4.3,56.6,2336.6,74.8,Formidable Brawler
173,0.6,13.8,5.9,60.6,0.8,0.5,60.6,3.0,-0.2,911.4,626.9,79.2,1.8,57.8,Gelbvieh,1.8,64.4,2266.8,33.4,Formidable Gladiator
174,0.5,14.1,6.5,58.2,0.6,0.3,58.2,2.4,4.4,1039.6,601.2,71.2,3.2,53.6,Hereford,4.9,65.9,1707.3,38.5,Formidable Giant
175,0.5,16.1,5.8,60.1,1.1,0.4,56.3,2.0,1.5,1040.3,1097.6,103.4,6.0,51.8,Limousin,3.9,54.3,2451.0,44.9,Formidable Colossus
176,0.5,16.2,8.7,59.5,1.5,0.5,59.0,1.9,1.9,841.7,979.2,118.1,0.8,53.5,Santa Gertrudis,6.3,58.5,1537.3,40.2,Formidable Titan
177,0.4,12.7,4.9,60.8,1.0,0.1,64.5,2.7,3.0,1211.7,1012.7,125.1,2.3,54.7,Brangus,2.3,66.6,1810.1,68.3,Formidable Hulk
178,0.3,14.9,6.2,57.3,0.8,0.3,49.6,3.0,3.6,983.2,785.7,98.2,2.8,58.2,Beefmaster,3.4,57.3,2491.4,60.7,Formidable Ram
179,0.5,16.9,9.6,62.4,0.4,0.3,59.1,2.5,1.8,434.4,744.7,80.1,3.7,51.9,Brahman,3.3,64.3,1702.7,67.3,Formidable Heifer
180,0.5,17.9,2.5,59.0,0.5,0.2,63.4,2.4,2.2,886.4,835.9,65.3,6.2,52.3,Santa Gertrudis,3.3,68.3,1190.0,49.2,Formidable Buck
181,0.5,16.5,8.3,57.8,1.0,0.3,56.6,1.4,-1.3,554.5,1001.8,86.1,3.7,58.1,Beefmaster,2.9,65.5,2068.3,79.5,Robust Bull
182,0.6,12.6,8.3,66.2,1.1,0.3,54.0,1.9,3.0,677.2,762.1,77.0,5.3,56.6,Simmental,1.2,57.7,2045.2,65.9,Robust Stallion
183,0.3,15.6,6.2,58.9,1.0,0.4,58.6,1.9,0.7,1059.0,949.8,77.8,1.4,55.2,Brahman,3.6,63.9,2226.3,44.0,Robust Sire
184,0.6,13.6,7.9,57.2,0.9,0.3,48.5,2.7,1.0,777.4,991.4,64.7,4.4,56.1,Santa Gertrudis,1.3,69.2,1837.5,49.4,Robust Male
185,0.8,16.8,8.5,60.2,1.1,0.3,69.8,2.3,2.7,976.2,755.5,107.3,2.6,53.7,Beefmaster,3.3,60.4,1292.1,75.6,Robust Bullfighter
186,0.5,16.6,6.4,59.5,0.9,0.5,61.9,3.1,1.2,1170.6,1220.6,80.5,1.3,51.4,Gelbvieh,1.0,67.2,2100.7,62.6,Robust Beast
187,0.6,15.9,6.9,63.2,0.6,0.4,55.1,2.7,2.1,353.4,849.0,81.6,5.8,55.4,Hereford,5.9,50.1,1434.5,48.8,Robust Brute
188,0.5,20.0,12.5,64.8,1.1,0.1,66.1,2.9,3.6,741.8,936.6,87.6,5.4,55.8,Santa Gertrudis,1.8,55.2,2257.2,80.4,Robust Charger
189,0.6,16.0,7.3,60.5,1.2,0.3,55.7,3.1,4.9,1255.0,1024.3,81.8,3.7,55.6,Charolais,7.3,62.5,1629.2,56.7,Robust Dominator
190,0.5,12.7,2.1,55.4,0.8,0.3,69.0,2.4,5.2,1176.3,882.5,121.0,2.1,50.6,Santa Gertrudis,2.3,53.8,1538.7,28.4,Robust Leader
191,0.4,14.6,10.9,52.8,0.6,0.4,64.2,2.6,2.8,680.5,1235.2,86.4,3.8,54.3,Brahman,3.6,59.6,1910.1,71.6,Robust Fighter
192,0.6,11.7,4.5,58.1,0.8,0.3,61.6,3.0,0.6,1224.6,864.4,69.8,6.8,54.0,Santa Gertrudis,3.8,55.5,2203.5,22.3,Robust Champion
193,0.4,13.0,8.9,59.4,1.0,0.3,59.9,2.2,0.8,480.9,1172.0,100.2,7.4,55.9,Santa Gertrudis,2.0,58.5,2579.2,28.3,Robust Ruler
194,0.4,18.1,9.2,60.5,0.6,0.1,59.6,3.0,3.3,1247.2,817.7,95.4,3.4,54.4,Angus,3.7,63.1,2221.0,49.3,Robust Protector
195,0.4,15.8,6.5,62.7,0.8,0.6,61.8,2.7,0.6,780.5,1010.2,54.0,3.7,57.7,Hereford,4.8,52.7,2455.6,59.2,Robust Guardian
196,0.4,15.5,2.7,65.5,1.2,0.5,63.3,2.2,-0.9,759.0,569.8,89.7,4.1,52.0,Santa Gertrudis,0.8,62.2,1940.9,50.6,Robust Alpha
197,0.6,16.6,3.5,56.9,1.4,0.2,53.4,2.9,0.5,823.6,1044.1,103.7,4.1,52.7,Gelbvieh,4.4,55.2,1912.5,39.7,Robust Powerhouse
198,0.7,10.0,1.8,58.9,0.4,0.2,65.2,2.1,5.3,920.9,682.4,80.6,5.5,53.6,Beefmaster,0.8,58.4,2257.4,65.7,Robust Monster
199,0.6,14.6,7.1,58.5,0.7,0.3,60.0,1.7,5.4,1092.1,894.9,106.4,3.2,56.2,Brangus,1.8,61.9,1899.9,52.1,Robust Warrior
200,0.6,15.4,0.6,55.6,1.3,0.2,65.2,3.2,0.2,837.8,695.9,102.2,4.3,54.3,Santa Gertrudis,4.6,60.0,1690.5,55.7,Robust Warlord
201,0.5,16.5,5.1,55.9,0.4,0.2,57.0,2.8,0.9,893.7,1051.0,77.5,4.9,54.9,Hereford,4.8,56.2,1852.5,35.8,Robust Bruiser
202,0.5,14.6,7.1,60.8,0.6,0.4,51.6,2.0,0.5,794.6,847.4,64.1,7.2,55.7,Brahman,5.8,64.3,1640.3,16.4,Robust Brawler
203,0.6,15.5,10.5,58.0,1.0,0.1,59.3,2.3,1.2,948.8,765.6,78.8,3.8,48.7,Hereford,5.0,56.6,2260.7,60.4,Robust Gladiator
204,0.5,17.5,6.4,59.2,1.1,0.4,59.3,2.6,1.2,640.1,724.4,71.8,7.3,55.8,Beefmaster,5.2,55.9,2006.8,93.7,Robust Giant
205,0.4,17.5,6.7,61.2,1.0,0.4,52.3,3.2,1.9,937.3,682.7,100.1,5.9,49.4,Santa Gertrudis,5.1,58.1,1911.0,23.2,Robust Colossus
206,0.7,16.7,10.2,56.5,1.2,0.4,59.8,2.7,2.6,751.1,922.1,75.4,6.2,58.6,Simmental,2.4,47.3,1546.4,26.2,Robust Titan
207,0.4,17.5,3.9,57.3,1.0,0.2,60.2,2.3,-0.0,1212.7,745.4,99.7,2.0,53.7,Brangus,-0.5,64.9,1953.7,49.8,Robust Hulk
208,0.5,16.8,8.3,59.5,0.6,0.3,53.3,2.3,1.5,707.6,894.2,98.6,7.2,51.8,Simmental,5.2,59.5,1697.1,58.0,Robust Ram
209,0.7,17.0,6.6,59.3,1.3,0.2,61.6,2.5,2.6,481.8,957.8,109.8,0.0,52.4,Gelbvieh,6.8,54.1,1650.1,54.5,Robust Heifer
210,0.5,14.2,5.4,60.8,0.7,0.3,60.5,2.3,1.5,836.8,635.9,100.6,5.0,59.0,Angus,5.8,62.7,1975.6,85.0,Robust Buck
211,0.6,14.3,4.6,61.1,0.9,0.6,59.6,3.5,-1.1,841.7,687.4,64.4,4.8,57.7,Hereford,1.8,63.4,1998.3,44.6,Vigorous Bull
212,0.6,17.5,7.3,62.3,0.9,0.4,64.6,2.0,1.1,1132.2,820.8,101.9,2.6,59.2,Hereford,1.8,62.2,1843.9,58.7,Vigorous Stallion
213,0.6,12.4,6.6,59.5,0.6,0.2,54.6,2.5,2.3,918.9,731.3,74.9,5.8,54.6,Charolais,5.9,62.1,1333.9,66.2,Vigorous Sire
214,0.5,15.1,5.8,55.3,1.0,0.2,55.5,2.4,-0.7,645.5,906.5,83.3,6.7,52.7,Charolais,3.2,63.2,1408.5,53.4,Vigorous Male
215,0.3,13.0,4.8,58.1,0.7,0.3,71.9,2.5,5.9,484.1,968.0,78.8,3.6,51.4,Hereford,2.2,61.5,2038.1,67.8,Vigorous Bullfighter
216,0.4,15.2,3.0,60.7,1.0,0.2,65.0,2.9,1.7,972.6,863.4,67.9,3.8,53.4,Brangus,3.0,56.5,1359.4,43.7,Vigorous Beast
217,0.6,14.2,6.9,60.8,0.3,0.2,52.9,2.1,-0.3,857.7,929.1,76.7,1.7,55.7,Santa Gertrudis,1.4,56.6,2279.2,58.4,Vigorous Brute
218,0.4,15.2,3.2,56.0,0.7,0.6,64.8,2.0,3.1,726.1,741.0,87.8,3.8,52.4,Charolais,1.3,51.3,1958.6,65.9,Vigorous Charger
219,0.3,17.2,4.7,62.3,1.1,0.5,69.2,2.1,2.3,768.3,822.2,97.1,2.2,50.5,Hereford,3.3,66.5,2138.7,33.9,Vigorous Dominator
220,0.5,13.4,3.2,62.3,1.1,0.3,59.5,2.3,2.5,754.6,794.9,95.2,2.8,55.3,Simmental,2.7,65.9,1906.6,42.5,Vigorous Leader
221,0.4,13.7,4.4,58.3,1.1,0.5,59.9,2.1,4.8,790.7,1155.1,73.9,5.7,57.4,Angus,3.5,57.6,2357.8,52.5,Vigorous Fighter
222,0.4,14.6,9.5,61.4,1.3,0.5,57.5,2.4,-1.2,940.6,755.2,88.4,3.8,47.6,Brahman,1.8,51.5,2493.6,76.6,Vigorous Champion
223,0.5,10.8,9.3,59.4,1.2,0.4,60.6,1.6,-0.3,458.6,1202.1,114.9,5.0,55.8,Hereford,2.4,64.2,1956.2,35.0,Vigorous Ruler
224,0.6,14.4,6.7,56.8,0.9,0.1,56.9,3.4,7.1,953.8,1055.3,82.6,1.1,50.6,Santa Gertrudis,2.5,61.5,1870.7,51.9,Vigorous Protector
225,0.3,13.2,7.9,60.2,0.9,0.3,59.8,3.3,2.5,820.2,1088.2,103.2,3.2,52.4,Beefmaster,2.1,67.4,1740.9,36.1,Vigorous Guardian
226,0.5,14.6,9.2,58.4,1.0,0.5,52.7,2.2,4.1,1068.1,963.5,89.9,1.4,54.0,Angus,2.0,72.0,2246.5,44.3,Vigorous Alpha
227,0.4,15.0,3.0,58.1,1.0,0.3,65.4,2.9,5.5,1019.8,583.9,81.8,5.6,45.6,Brangus,1.5,60.7,2296.5,60.5,Vigorous Powerhouse
228,0.3,17.5,8.5,57.6,1.0,0.2,59.0,3.5,2.7,759.7,1082.4,85.9,2.7,53.4,Gelbvieh,3.0,65.2,2037.2,64.9,Vigorous Monster
229,0.5,12.8,5.9,60.7,0.7,0.3,60.3,2.6,4.7,780.2,848.8,97.1,4.9,55.9,Hereford,2.4,65.5,1748.6,50.1,Vigorous Warrior
230,0.3,13.0,8.5,59.3,1.2,0.4,60.6,2.2,1.2,930.7,703.2,45.0,5.2,53.6,Brangus,6.9,67.8,1790.5,43.9,Vigorous Warlord
231,0.5,13.7,8.5,63.1,1.1,0.3,56.4,1.9,-0.3,962.5,871.5,70.9,4.5,53.4,Limousin,5.1,60.7,1291.7,72.2,Vigorous Bruiser
232,0.5,14.5,4.3,61.2,0.7,0.4,62.0,2.1,0.1,584.3,934.1,86.9,6.5,58.1,Beefmaster,3.3,61.1,1769.2,35.4,Vigorous Brawler
233,0.4,16.0,6.7,57.5,0.9,0.3,60.9,2.5,0.2,836.6,816.0,102.3,7.0,50.3,Charolais,3.0,66.4,2375.6,79.7,Vigorous Gladiator
234,0.5,15.7,4.2,62.8,0.8,0.3,52.2,2.5,3.5,1124.9,873.3,101.2,2.1,54.1,Gelbvieh,5.6,55.8,2129.8,48.7,Vigorous Giant
235,0.4,12.6,8.0,59.0,0.7,0.3,65.5,2.2,1.8,1025.9,738.4,82.1,5.4,51.0,Brahman,3.5,54.8,2039.8,46.2,Vigorous Colossus
236,0.4,14.1,6.9,59.3,0.7,0.2,58.0,2.0,2.4,812.3,1143.6,86.6,3.8,55.8,Hereford,1.5,53.8,2497.3,87.0,Vigorous Titan
237,0.5,16.4,10.7,58.1,0.6,0.2,59.4,1.3,1.9,984.5,807.8,76.7,5.2,54.7,Hereford,4.3,62.5,1524.5,53.2,Vigorous Hulk
238,0.5,15.0,6.8,60.3,0.2,0.4,50.6,3.7,1.8,954.9,806.5,102.7,4.6,57.4,Brahman,5.4,64.2,1550.0,44.8,Vigorous Ram
239,0.5,14.8,2.2,57.4,0.9,0.1,69.2,2.0,3.1,993.2,1039.4,92.0,4.1,57.7,Brangus,4.4,57.5,2160.9,32.9,Vigorous Heifer
240,0.3,18.1,5.1,56.0,0.9,0.3,62.5,2.9,-1.7,1000.5,876.7,109.0,5.1,58.0,Angus,4.6,54.7,2297.5,60.2,Vigorous Buck
241,0.3,16.8,6.5,65.0,0.6,0.2,56.1,2.5,-0.9,673.1,824.0,91.2,6.4,53.8,Gelbvieh,4.4,54.4,1638.6,59.7,Muscular Bull
242,0.7,15.1,8.5,60.5,0.8,0.1,52.0,3.5,1.1,1256.5,1113.2,109.4,1.9,47.1,Gelbvieh,6.5,49.3,2043.5,43.0,Muscular Stallion
243,0.5,15.4,7.8,60.3,0.8,0.5,58.9,2.6,1.2,551.5,886.5,103.0,4.0,52.1,Simmental,5.3,63.9,2137.4,52.4,Muscular Sire
244,0.6,18.9,6.2,60.7,0.9,0.4,62.5,2.3,6.7,215.8,1190.7,101.8,2.4,49.2,Hereford,1.5,64.8,1972.3,47.6,Muscular Male
245,0.3,13.7,6.7,59.1,1.0,0.2,62.5,2.1,2.4,967.1,1088.5,88.3,5.1,53.7,Santa Gertrudis,3.2,47.6,1901.3,48.2,Muscular Bullfighter
246,0.4,17.4,4.3,59.6,1.8,0.3,57.0,2.7,3.1,732.8,1012.2,72.1,5.4,52.0,Santa Gertrudis,2.3,61.4,1597.0,24.5,Muscular Beast
247,0.4,18.3,8.5,61.1,0.7,0.3,49.8,2.1,-0.7,904.8,985.6,97.0,3.0,51.6,Brahman,4.0,58.1,1513.4,60.9,Muscular Brute
248,0.7,16.1,8.4,62.1,1.2,0.3,64.2,3.0,6.1,908.5,713.5,58.4,5.0,60.0,Angus,2.9,56.6,1846.6,46.3,Muscular Charger
249,0.6,14.9,10.5,64.1,1.3,0.2,54.9,4.0,1.6,747.7,934.8,118.1,6.1,55.0,Hereford,2.9,50.2,2668.9,76.1,Muscular Dominator
250,0.6,16.4,6.2,62.0,0.8,0.1,59.6,2.7,4.1,710.0,965.8,87.2,1.9,57.9,Gelbvieh,4.7,59.2,1492.7,55.9,Muscular Leader
251,0.4,20.9,4.8,60.0,0.8,0.4,59.8,3.1,4.1,860.1,912.5,97.7,4.2,56.6,Charolais,4.5,53.5,2025.7,56.7,Muscular Fighter
252,0.3,14.0,10.1,61.4,1.2,0.3,59.9,3.1,0.9,613.2,686.2,86.2,3.3,55.0,Hereford,5.0,51.2,1860.8,61.1,Muscular Champion
253,0.5,16.2,2.6,55.9,1.0,0.1,59.7,3.0,-0.9,1129.8,855.1,88.8,5.0,54.6,Limousin,3.3,61.4,1934.7,80.4,Muscular Ruler
254,0.7,15.6,5.9,63.5,1.0,0.4,63.8,2.8,-0.8,985.7,723.1,75.9,0.1,58.8,Brangus,3.3,59.1,2551.1,65.6,Muscular Protector
255,0.6,13.8,5.1,61.9,1.1,0.3,65.3,2.8,4.1,627.3,532.9,76.7,8.2,48.1,Charolais,0.8,66.7,2402.0,80.8,Muscular Guardian
256,0.5,10.5,4.6,63.2,1.1,0.2,61.2,2.7,2.0,1328.5,716.8,116.1,3.7,49.5,Limousin,3.6,63.8,1760.6,34.4,Muscular Alpha
257,0.6,15.5,9.2,57.8,1.2,0.4,65.5,2.1,-0.0,950.9,1042.8,68.9,4.8,52.8,Limousin,2.8,59.1,2732.7,60.7,Muscular Powerhouse
258,0.5,16.8,10.7,65.0,1.1,0.3,53.1,2.7,1.9,776.8,986.4,90.0,6.3,53.4,Limousin,6.5,58.3,2086.2,34.0,Muscular Monster
259,0.6,13.2,6.5,63.3,0.9,0.3,66.1,2.5,2.9,1089.1,911.8,118.4,4.6,49.0,Beefmaster,3.2,60.2,2262.3,47.0,Muscular Warrior
260,0.3,13.5,7.2,64.9,0.6,0.3,58.7,2.1,-0.8,908.8,694.3,110.6,0.5,49.2,Beefmaster,5.0,48.8,2250.2,61.8,Muscular Warlord
261,0.6,16.0,8.8,60.5,0.1,0.5,59.3,2.3,2.3,1039.6,803.3,82.4,4.1,51.5,Limousin,1.8,64.7,2100.4,45.7,Muscular Bruiser
262,0.6,14.3,5.7,63.0,0.8,0.2,61.4,2.1,4.2,613.0,1100.6,87.6,3.3,49.6,Beefmaster,2.9,57.2,1858.5,54.8,Muscular Brawler
263,0.6,15.5,8.3,58.5,0.5,0.2,60.1,2.8,3.4,1056.5,847.7,96.1,7.3,53.0,Hereford,2.2,55.4,1850.9,69.9,Muscular Gladiator
264,0.5,17.9,11.3,63.3,1.3,0.3,48.3,2.8,2.4,1053.6,1009.8,61.7,2.7,55.4,Brangus,2.5,61.7,1874.5,85.4,Muscular Giant
265,0.6,14.2,5.3,62.4,0.9,0.1,52.9,2.5,-3.8,1061.5,913.7,84.5,7.3,55.4,Angus,4.0,57.4,1582.6,64.0,Muscular Colossus
266,0.5,15.2,6.6,58.7,0.4,0.4,62.8,2.1,-0.2,983.5,885.6,76.7,4.2,56.1,Brangus,6.4,57.3,1490.5,35.2,Muscular Titan
267,0.5,16.8,5.4,66.4,1.0,0.3,48.4,2.8,3.8,946.3,741.8,72.3,4.8,56.2,Santa Gertrudis,1.9,58.7,1783.0,30.5,Muscular Hulk
268,0.6,14.0,1.9,56.7,1.2,0.4,63.3,2.0,-0.7,904.6,888.8,88.2,5.2,48.0,Beefmaster,1.7,55.1,2168.8,60.0,Muscular Ram
269,0.6,12.1,6.7,62.1,1.1,0.3,55.5,3.4,4.0,977.3,881.0,114.3,4.4,50.9,Charolais,2.7,65.9,1873.6,38.2,Muscular Heifer
270,0.3,13.8,6.2,60.6,0.9,0.1,60.6,2.5,5.4,783.5,874.9,73.1,3.8,52.5,Simmental,4.6,53.9,2337.4,57.5,Muscular Buck
271,0.6,13.6,7.2,62.8,1.0,0.4,57.8,2.8,1.4,800.2,1083.7,94.8,8.7,49.0,Limousin,7.3,65.7,1941.2,51.8,Fierce Bull
272,0.7,15.0,7.4,58.3,0.9,0.3,61.3,2.5,3.2,795.3,1039.1,103.5,2.8,54.4,Angus,1.9,70.1,2016.7,39.0,Fierce Stallion
273,0.5,11.0,7.5,61.5,0.9,0.4,58.7,2.8,1.9,1022.5,742.5,90.6,2.9,56.0,Hereford,4.8,54.7,1765.6,79.7,Fierce Sire
274,0.5,15.0,6.8,61.5,0.7,0.3,48.3,2.9,-0.4,920.5,1054.8,107.6,4.6,50.8,Brangus,6.1,67.3,1983.2,34.2,Fierce Male
275,0.5,19.3,6.8,62.1,0.6,0.3,58.5,3.3,3.6,604.9,817.9,87.1,1.6,48.0,Angus,2.6,55.2,2402.0,45.5,Fierce Bullfighter
276,0.6,14.8,4.5,66.3,0.6,0.4,56.8,2.4,0.8,733.7,831.6,105.4,5.9,54.0,Gelbvieh,4.2,61.7,2482.8,55.7,Fierce Beast
277,0.6,13.7,5.5,63.5,1.5,0.2,64.8,2.5,-0.5,941.1,648.2,89.8,2.1,56.6,Limousin,1.0,59.3,1870.6,55.7,Fierce Brute
278,0.6,16.2,9.8,59.6,1.0,0.3,58.8,2.1,1.8,553.5,643.0,91.4,0.5,57.4,Charolais,4.4,53.1,2314.3,64.9,Fierce Charger
279,0.5,14.5,8.9,62.9,1.1,0.4,62.2,2.1,2.6,699.7,784.0,82.9,-1.5,53.6,Gelbvieh,1.6,62.8,2243.6,54.1,Fierce Dominator
280,0.2,15.5,2.7,60.3,1.1,0.3,55.8,2.6,2.7,753.9,975.8,125.8,6.1,51.3,Simmental,3.1,57.4,1769.8,32.8,Fierce Leader
281,0.3,16.8,5.8,62.6,0.8,0.5,67.7,2.4,3.2,831.9,818.2,81.9,5.0,49.4,Beefmaster,4.6,57.3,1680.6,42.1,Fierce Fighter
282,0.5,19.1,3.4,58.6,1.3,0.4,60.9,2.1,2.7,926.8,722.5,61.7,-0.7,52.5,Angus,2.1,55.0,1921.8,25.2,Fierce Champion
283,0.6,14.9,4.0,60.4,1.1,0.1,52.6,2.4,1.8,882.2,1068.1,92.3,3.8,54.6,Charolais,2.9,65.2,1703.1,54.8,Fierce Ruler
284,0.5,13.3,7.1,61.2,0.8,0.5,63.0,2.7,3.5,1260.2,1082.6,117.4,1.1,57.9,Angus,7.7,65.9,1619.6,56.8,Fierce Protector
285,0.4,13.3,8.6,62.1,1.1,0.3,57.4,1.7,-2.8,879.8,719.0,85.8,3.0,55.9,Simmental,3.9,58.8,2197.1,58.5,Fierce Guardian
286,0.5,15.8,8.3,59.3,0.6,0.4,57.8,2.4,2.2,1046.0,1219.0,72.6,5.0,53.3,Santa Gertrudis,1.3,65.3,2015.3,62.1,Fierce Alpha
287,0.4,16.4,4.7,57.4,1.8,0.5,60.2,2.4,5.4,1027.3,1019.0,73.1,0.3,52.9,Brahman,2.8,63.7,1887.8,72.6,Fierce Powerhouse
288,0.5,17.9,1.9,59.4,0.5,0.2,63.2,2.8,1.4,689.0,783.2,99.9,5.7,57.7,Simmental,4.0,64.0,1538.1,63.1,Fierce Monster
289,0.4,14.3,6.1,57.1,0.8,0.2,63.7,3.0,0.8,758.5,629.3,119.9,4.5,57.6,Hereford,1.9,60.5,2231.8,27.2,Fierce Warrior
290,0.5,15.0,7.3,56.6,0.6,0.3,61.0,2.0,3.4,940.5,543.1,105.6,5.6,51.9,Beefmaster,7.1,60.8,2078.4,62.7,Fierce Warlord
291,0.5,14.7,7.6,61.0,1.0,0.3,58.9,3.4,3.9,920.7,798.2,83.2,3.5,53.4,Simmental,5.2,62.3,2332.3,49.9,Fierce Bruiser
292,0.5,14.5,7.0,59.4,0.8,0.3,58.1,2.1,3.5,806.0,736.3,105.2,4.6,52.7,Simmental,3.5,57.7,2377.3,52.2,Fierce Brawler
293,0.6,16.9,4.7,64.6,1.0,0.3,53.7,2.3,0.6,705.9,749.4,97.6,1.7,65.5,Angus,6.7,54.5,2194.3,73.5,Fierce Gladiator
294,0.3,11.6,10.6,59.5,0.9,0.4,51.5,2.2,1.6,854.1,1112.4,100.6,3.8,54.3,Brangus,3.4,61.0,1539.1,57.7,Fierce Giant
295,0.6,16.2,7.1,58.4,0.7,0.2,61.7,1.9,1.6,992.1,1137.4,79.0,4.2,54.5,Brangus,2.8,61.8,2004.5,66.0,Fierce Colossus
296,0.4,11.8,7.2,61.2,0.7,0.3,61.1,2.7,-1.0,1104.7,802.1,93.8,3.7,56.3,Hereford,5.5,61.6,1975.0,40.7,Fierce Titan
297,0.4,14.4,7.1,63.6,-0.1,0.2,61.2,1.2,6.9,679.8,725.6,80.1,3.2,55.9,Beefmaster,3.1,62.8,2213.2,74.0,Fierce Hulk
298,0.6,14.6,3.8,60.5,0.8,0.1,62.9,3.0,-0.5,917.6,890.8,96.9,5.7,56.0,Hereford,4.3,60.9,1685.1,62.9,Fierce Ram
299,0.5,17.5,6.1,59.6,1.1,0.4,59.0,3.0,1.7,879.9,944.8,93.9,5.6,47.5,Angus,3.9,58.3,1955.1,71.7,Fierce Heifer
300,0.5,13.5,5.8,63.6,0.8,0.4,63.1,2.1,3.5,908.2,1093.8,90.1,2.5,50.1,Brahman,5.4,54.8,1747.3,27.5,Fierce Buck
301,0.5,15.5,6.7,61.5,0.6,0.2,60.1,2.3,4.0,877.5,1184.1,61.2,2.8,52.9,Gelbvieh,4.9,54.8,1870.6,66.6,Courageous Bull
302,0.5,12.9,11.9,62.1,0.9,0.3,55.6,1.7,3.4,1190.3,869.8,95.7,6.4,53.6,Gelbvieh,2.6,59.0,1599.6,42.2,Courageous Stallion
303,0.4,13.7,5.2,60.6,1.4,0.2,57.8,3.2,3.3,658.9,887.1,94.8,3.8,54.6,Santa Gertrudis,4.2,58.6,1826.7,48.5,Courageous Sire
304,0.5,13.2,5.0,61.8,1.1,0.2,61.5,2.5,2.0,1111.2,1040.3,89.9,4.6,58.1,Hereford,4.1,56.6,2297.2,55.8,Courageous Male
